Title,Year,Genre,Runtime,Gross,imdbRating,imdbRatingVotes,metascoreRating,rottenRating,metacriticRating
Dolittle,2020,"Adventure, Comedy, Family",101.0,251410631,5.6,65963,26.0,15,26
Bean,1997,"Adventure, Comedy, Family",89.0,251212670,6.5,106691,52.0,43,52
American Hustle,2013,"Crime, Drama",138.0,251171807,7.2,483281,90.0,92,90
Enemy of the State,1998,"Action, Thriller",132.0,250849789,7.3,247655,67.0,70,67
You've Got Mail,1998,"Comedy, Drama, Romance",119.0,250821495,6.7,217703,57.0,70,57
Eragon,2006,"Action, Adventure, Family",104.0,250425512,5.1,127490,38.0,70,38
Brother Bear,2003,"Animation, Adventure, Comedy",85.0,250397798,6.8,113422,48.0,37,48
The Godfather,1972,"Crime, Drama",175.0,250341816,9.2,1868934,100.0,97,100
The Mask of Zorro,1998,"Action, Adventure, Comedy",136.0,250288523,6.8,187957,63.0,83,63
The Bad Guys,2022,"Animation, Adventure, Comedy",100.0,250162278,6.8,43714,64.0,88,64
The Ring,2002,"Horror, Mystery",115.0,249348933,7.1,354236,57.0,71,57
The Blair Witch Project,1999,"Horror, Mystery",81.0,248639099,6.5,266164,81.0,86,81
Unbreakable,2000,"Drama, Mystery, Sci-Fi",106.0,248118121,7.3,421544,62.0,70,62
Love Actually,2003,"Comedy, Drama, Romance",135.0,247933248,7.6,499811,55.0,64,55
Journey to the West: The Demons Strike Back,2017,"Adventure, Comedy, Fantasy",109.0,247585244,5.4,3281,59.0,58,59
Dumb and Dumber,1994,Comedy,107.0,247290327,7.3,390796,41.0,68,41
Glass,2019,"Drama, Horror, Sci-Fi",129.0,246999039,6.6,247681,43.0,36,43
Grown Ups 2,2013,Comedy,101.0,246984278,5.3,157553,19.0,8,19
The Peanuts Movie,2015,"Animation, Adventure, Comedy",88.0,246233113,7.0,47045,67.0,87,67
Rango,2011,"Animation, Action, Adventure",107.0,245724603,7.2,270734,75.0,88,75
Four Weddings and a Funeral,1994,"Comedy, Drama, Romance",117.0,245700832,7.1,155801,81.0,96,81
Face/Off,1997,"Action, Crime, Sci-Fi",138.0,245676146,7.3,381980,82.0,92,82
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"Action, Adventure, Comedy",112.0,245623848,5.9,94758,40.0,37,40
Dark Shadows,2012,"Comedy, Fantasy, Horror",113.0,245527149,6.2,270585,55.0,35,55
Hulk,2003,"Action, Sci-Fi",138.0,245285165,5.6,270620,54.0,62,54
The Bravest,2019,"Action, Drama",118.0,245179562,5.7,1010,,62,54
Welcome to the Sticks,2008,"Comedy, Romance",106.0,245144417,7.1,42790,,67,54
Back to the Future Part III,1990,"Adventure, Comedy, Sci-Fi",118.0,245077583,7.4,451787,55.0,80,55
Pixels,2015,"Action, Comedy, Fantasy",105.0,244874809,5.6,147383,27.0,18,27
Hercules,1997,"Animation, Adventure, Comedy",93.0,244819862,7.3,235791,74.0,82,74
Rush Hour,1998,"Action, Comedy, Crime",98.0,244721064,7.0,273549,60.0,61,60
Journey to the Center of the Earth,2008,"Action, Adventure, Family",93.0,244232688,5.8,125048,57.0,61,57
After Earth,2013,"Action, Adventure, Sci-Fi",100.0,243611982,4.8,203075,33.0,12,33
A Few Good Men,1992,"Drama, Thriller",138.0,243240178,7.7,268410,62.0,84,62
Cloudy with a Chance of Meatballs,2009,"Animation, Adventure, Comedy",90.0,243006126,6.9,238178,66.0,86,66
8 Mile,2002,"Drama, Music",110.0,242875078,7.2,295430,77.0,75,77
Daddy's Home,2015,"Comedy, Family",96.0,242786137,6.1,122407,42.0,30,42
RoboCop,1987,"Action, Crime, Sci-Fi",102.0,242688965,7.6,262833,70.0,91,70
Eraser,1996,"Action, Crime, Thriller",115.0,242295562,6.2,113693,56.0,42,56
Alien: Covenant,2017,"Horror, Sci-Fi, Thriller",122.0,240891763,6.4,284772,65.0,65,65
Sully,2016,"Biography, Drama",96.0,240797623,7.4,276215,74.0,85,74
Assassin's Creed,2016,"Action, Adventure, Sci-Fi",115.0,240697856,5.6,201159,36.0,19,36
Click,2006,"Comedy, Drama, Fantasy",107.0,240685326,6.4,335749,45.0,34,45
Legend of Deification,2020,"Animation, Action, Adventure",110.0,240646355,6.5,1928,,83,45
Planes,2013,"Animation, Adventure, Comedy",91.0,240171783,5.7,46187,39.0,25,39
Resident Evil: Retribution,2012,"Action, Horror, Sci-Fi",95.0,240159255,5.3,144567,39.0,28,39
Die Hard 2,1990,"Action, Thriller",124.0,240031274,7.1,367196,67.0,70,67
Crocodile Dundee II,1988,"Action, Adventure, Comedy",108.0,239606210,5.7,58195,41.0,9,41
Bullet Train,2022,"Action, Comedy, Thriller",127.0,239268602,7.3,269044,49.0,54,49
Crazy Rich Asians,2018,"Comedy, Drama, Romance",120.0,238843729,6.9,175877,74.0,91,74
Batman & Robin,1997,"Action, Sci-Fi",125.0,238235719,3.7,256531,28.0,12,28
Howl's Moving Castle,2004,"Animation, Adventure, Family",119.0,237536126,8.2,400809,80.0,87,80
Gulliver's Travels,2010,"Adventure, Comedy, Family",85.0,237382724,4.9,70624,33.0,20,33
Gone in 60 Seconds,2000,"Action, Crime, Thriller",118.0,237202299,6.5,282125,35.0,25,35
Saturday Night Fever,1977,"Drama, Music",118.0,237113184,6.8,82090,77.0,83,77
Silver Linings Playbook,2012,"Comedy, Drama, Romance",122.0,236412453,7.7,714483,81.0,92,81
2 Fast 2 Furious,2003,"Action, Crime, Thriller",107.0,236350661,5.9,277551,38.0,36,38
Hidden Figures,2016,"Biography, Drama, History",127.0,235956898,7.8,234299,74.0,93,74
A.I. Artificial Intelligence,2001,"Drama, Sci-Fi",146.0,235926552,7.2,311117,65.0,75,65
Dead Poets Society,1989,"Comedy, Drama",128.0,235860116,8.1,497496,79.0,84,79
Spy,2015,"Action, Comedy",120.0,235666219,7.0,247452,75.0,95,75
American Pie,1999,Comedy,95.0,235483004,7.0,412291,58.0,61,58
American Reunion,2012,Comedy,113.0,234989584,6.7,216622,49.0,45,49
Big Daddy,1999,"Comedy, Drama",93.0,234801895,6.4,220987,41.0,39,41
Alvin and the Chipmunks: The Road Chip,2015,"Animation, Adventure, Comedy",92.0,234798636,4.9,20430,33.0,15,33
The Imitation Game,2014,"Biography, Drama, Thriller",114.0,233555708,8.0,776268,71.0,90,71
Cruella,2021,"Adventure, Comedy, Crime",134.0,233503234,7.3,237172,59.0,75,59
The Day the Earth Stood Still,2008,"Adventure, Drama, Sci-Fi",104.0,233093859,5.5,172313,40.0,20,40
American Wedding,2003,Comedy,96.0,232722935,6.3,209029,43.0,53,43
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",158.0,232617430,7.8,468384,71.0,86,71
Juno,2007,"Comedy, Drama",96.0,232372681,7.5,527255,81.0,94,81
Argo,2012,"Biography, Drama, Thriller",120.0,232325503,7.7,618618,86.0,96,86
Mr. Bean's Holiday,2007,"Comedy, Family",90.0,232225908,6.4,128266,56.0,51,56
The English Patient,1996,"Drama, Romance, War",162.0,231976425,7.4,192110,87.0,86,87
Sister Act,1992,"Comedy, Family, Music",100.0,231605150,6.5,101353,51.0,74,51
Annabelle Comes Home,2019,"Horror, Mystery, Thriller",106.0,231252591,5.9,77864,53.0,64,53
Constantine,2005,"Action, Fantasy, Horror",121.0,230884728,7.0,351000,50.0,46,50
Get Smart,2008,"Action, Adventure, Comedy",110.0,230685453,6.5,220664,54.0,51,54
Space Jam,1996,"Animation, Adventure, Comedy",88.0,230594962,6.5,200254,59.0,43,59
Life Is Beautiful,1997,"Comedy, Drama, Romance",116.0,230098753,8.6,698534,59.0,80,59
The Heat,2013,"Action, Comedy, Crime",117.0,229930771,6.6,174451,60.0,66,60
Ghostbusters,1984,"Action, Comedy, Fantasy",105.0,229147509,7.8,420236,71.0,95,71
Ghost Rider,2007,"Action, Fantasy, Thriller",110.0,228738393,5.2,242268,35.0,27,35
Goodbye Mr. Loser,2015,Comedy,104.0,228122928,6.7,3062,,27,35
Paddington 2,2017,"Adventure, Comedy, Family",103.0,227994792,7.8,81957,88.0,99,88
Sleepless in Seattle,1993,"Comedy, Drama, Romance",105.0,227927165,6.8,179392,72.0,75,72
Lethal Weapon 2,1989,"Action, Crime, Thriller",114.0,227853986,7.2,179226,70.0,82,70
The Green Hornet,2011,"Action, Comedy, Crime",119.0,227817248,5.8,161712,39.0,44,39
Out of Africa,1985,"Biography, Drama, Romance",161.0,227514205,7.1,81244,69.0,61,69
Elf,2003,"Adventure, Comedy, Family",97.0,227356156,7.0,284419,64.0,85,64
Youth,2015,"Comedy, Drama, Music",124.0,227091290,7.3,79856,64.0,71,64
Baby Driver,2017,"Action, Crime, Drama",113.0,226945087,7.6,548438,86.0,92,86
Immortals,2011,"Action, Drama, Fantasy",110.0,226904017,6.0,170638,46.0,49,46
Taken,2008,"Action, Crime, Thriller",90.0,226837760,7.8,607261,51.0,59,51
Percy Jackson & the Olympians: The Lightning Thief,2010,"Adventure, Family, Fantasy",118.0,226497209,5.8,191317,47.0,49,47
Lightyear,2022,"Animation, Action, Adventure",105.0,226425420,6.1,107450,60.0,74,60
Hansel & Gretel: Witch Hunters,2013,"Action, Fantasy, Horror",88.0,226349749,6.1,209119,23.0,16,23
Valerian and the City of a Thousand Planets,2017,"Action, Adventure, Fantasy",136.0,225973340,6.4,184490,51.0,48,51
Good Will Hunting,1997,"Drama, Romance",126.0,225933435,8.3,979917,70.0,97,70
Better Days,2019,"Crime, Drama, Romance",135.0,225918798,7.5,10422,83.0,97,83
Ford v Ferrari,2019,"Action, Biography, Drama",152.0,225508210,8.1,400889,81.0,92,81
Jumper,2008,"Action, Adventure, Sci-Fi",88.0,225132113,6.1,309893,35.0,15,35
The Social Network,2010,"Biography, Drama",120.0,224920375,7.8,710400,95.0,96,95
Chicken Run,2000,"Animation, Adventure, Comedy",84.0,224874811,7.1,195752,88.0,97,88
Con Air,1997,"Action, Crime, Thriller",115.0,224012234,6.9,303685,52.0,58,52
Interview with the Vampire: The Vampire Chronicles,1994,"Drama, Fantasy, Horror",123.0,223664608,7.5,327730,59.0,64,59
Flightplan,2005,"Drama, Mystery, Thriller",98.0,223387299,6.3,164623,53.0,37,53
Yes Man,2008,"Comedy, Romance",104.0,223241637,6.8,366485,46.0,46,46
Non-Stop,2014,"Action, Mystery, Thriller",106.0,222809600,6.9,267297,56.0,61,56
"Honey, I Shrunk the Kids",1989,"Adventure, Comedy, Family",93.0,222724172,6.4,157545,63.0,78,63
Fahrenheit 9/11,2004,"Documentary, Drama, War",122.0,222446882,7.5,130298,67.0,82,67
Wild Wild West,1999,"Action, Comedy, Sci-Fi",106.0,222104681,4.9,162732,38.0,16,38
"My Country, My Parents",2021,Drama,157.0,221831086,,429,,16,38
Geostorm,2017,"Action, Sci-Fi, Thriller",109.0,221600160,5.3,110315,21.0,17,21
Presumed Innocent,1990,"Mystery, Thriller",127.0,221303188,6.9,43185,72.0,86,72
Jungle Cruise,2021,"Action, Adventure, Comedy",127.0,220889446,6.6,194035,50.0,63,50
Scary Movie 3,2003,Comedy,84.0,220673217,5.5,149502,49.0,35,49
Collateral,2004,"Action, Crime, Drama",120.0,220239925,7.5,410055,71.0,86,71
Inferno,2016,"Action, Adventure, Crime",121.0,220021259,6.2,178637,42.0,23,42
Knocked Up,2007,"Comedy, Romance",129.0,219922417,6.9,372992,85.0,89,85
Green Lantern,2011,"Action, Adventure, Sci-Fi",114.0,219851172,5.5,287756,39.0,26,39
What Happens in Vegas,2008,"Comedy, Romance",99.0,219375562,6.1,178960,36.0,25,36
It's Complicated,2009,"Comedy, Drama, Romance",120.0,219103655,6.5,94212,57.0,59,57
The Terminal,2004,"Comedy, Drama, Romance",128.0,219100084,7.4,465268,55.0,61,55
Little Women,2019,"Drama, Romance",135.0,218843645,7.8,209861,91.0,95,91
Captain Phillips,2013,"Action, Biography, Crime",134.0,218791811,7.8,465426,82.0,93,82
The Prince of Egypt,1998,"Animation, Adventure, Drama",99.0,218613188,7.1,134906,64.0,79,64
Jack Reacher,2012,"Action, Mystery, Thriller",130.0,218340595,7.0,345723,50.0,63,50
Kingdom of Heaven,2005,"Action, Adventure, Drama",144.0,218122627,7.2,292816,63.0,39,63
The Emoji Movie,2017,"Animation, Adventure, Comedy",86.0,217776646,3.4,65847,12.0,6,12
Too Cool to Kill,2022,Comedy,109.0,217254604,6.1,566,,6,12
Dracula Untold,2014,"Action, Drama, Fantasy",92.0,217124280,6.2,198306,40.0,25,40
Central Intelligence,2016,"Action, Comedy, Crime",107.0,216972543,6.3,194459,52.0,71,52
Million Dollar Baby,2004,"Drama, Sport",132.0,216763646,8.1,690777,86.0,90,86
The Help,2011,Drama,146.0,216639112,8.1,463375,62.0,76,62
Twins,1988,"Comedy, Crime",107.0,216614388,6.1,127920,53.0,42,53
Valentine's Day,2010,"Comedy, Romance",125.0,216528528,5.7,121045,34.0,18,34
Bad Teacher,2011,"Comedy, Romance",92.0,216197492,5.6,205573,47.0,45,47
Smile,2022,"Horror, Mystery, Thriller",115.0,216135048,6.6,90200,68.0,80,68
A Little Red Flower,2020,"Drama, Family",122.0,216000000,6.7,684,,80,68
The Croods: A New Age,2020,"Animation, Adventure, Comedy",95.0,215905815,6.9,45514,56.0,77,56
Clear and Present Danger,1994,"Action, Crime, Drama",141.0,215887717,6.9,101820,74.0,80,74
One Hundred and One Dalmatians,1961,"Animation, Adventure, Comedy",79.0,215880014,7.3,171132,83.0,98,83
Ted 2,2015,Comedy,115.0,215863606,6.3,214459,48.0,44,48
Dracula,1992,"Drama, Fantasy, Horror",128.0,215862692,7.4,221713,57.0,77,57
Vertical Limit,2000,"Action, Adventure, Drama",124.0,215663859,5.9,62589,48.0,48,48
Ghostbusters II,1989,"Action, Comedy, Fantasy",108.0,215394738,6.6,210993,56.0,55,56
The Patriot,2000,"Action, Drama, History",165.0,215294342,7.2,278457,63.0,62,63
The Sorcerer's Apprentice,2010,"Action, Adventure, Family",109.0,215283742,6.1,164244,46.0,40,46
Just Go with It,2011,"Comedy, Romance",117.0,214945591,6.4,248460,33.0,19,33
The Expendables 3,2014,"Action, Adventure, Thriller",126.0,214657577,6.1,184957,35.0,31,35
Dirty Dancing,1987,"Drama, Music, Romance",100.0,214577242,7.0,237188,65.0,71,65
Creed II,2018,"Action, Drama, Sport",130.0,214215889,7.1,128652,66.0,83,66
Smallfoot,2018,"Animation, Adventure, Comedy",96.0,214115531,6.6,40540,60.0,76,60
Public Enemies,2009,"Action, Biography, Crime",140.0,214104620,7.0,306422,70.0,68,70
The Bourne Identity,2002,"Action, Mystery, Thriller",119.0,214034224,7.9,550882,68.0,84,68
Disclosure,1994,"Drama, Thriller",128.0,214015089,6.1,51427,58.0,60,58
Pulp Fiction,1994,"Crime, Drama",154.0,213928762,8.9,2067298,94.0,92,94
The Aviator,2004,"Biography, Drama",170.0,213719942,7.5,365405,77.0,86,77
"Crouching Tiger, Hidden Dragon",2000,"Action, Adventure, Drama",120.0,213525736,7.9,271798,94.0,97,94
Braveheart,1995,"Biography, Drama, History",178.0,213216216,8.4,1042953,68.0,75,68
Into the Woods,2014,"Adventure, Comedy, Drama",125.0,212902372,5.9,143076,69.0,71,69
Bedtime Stories,2008,"Adventure, Comedy, Family",99.0,212874864,6.0,96791,33.0,27,33
Miss Congeniality,2000,"Action, Comedy, Crime",109.0,212742720,6.3,214169,43.0,41,43
Entrapment,1999,"Action, Crime, Romance",113.0,212404396,6.3,117594,54.0,40,54
Ace Ventura: When Nature Calls,1995,"Adventure, Comedy, Crime",90.0,212385533,6.4,221198,45.0,21,45
End of Days,1999,"Action, Fantasy, Horror",122.0,211989043,5.8,112091,33.0,11,33
Bridget Jones's Baby,2016,"Comedy, Drama, Romance",123.0,211952420,6.5,77226,59.0,78,59
Fury,2014,"Action, Drama, War",134.0,211822697,7.5,498738,64.0,76,64
Battle Los Angeles,2011,"Action, Adventure, Sci-Fi",116.0,211819354,5.7,181649,37.0,37,37
Australia,2008,"Adventure, Drama, Romance",165.0,211787511,6.6,126077,53.0,54,53
Due Date,2010,"Comedy, Drama",95.0,211780824,6.5,347007,51.0,39,51
Master and Commander: The Far Side of the World,2003,"Action, Adventure, Drama",138.0,211622535,7.4,224557,81.0,85,81
A Series of Unfortunate Events,2004,"Adventure, Comedy, Family",108.0,211468235,6.8,212014,62.0,72,62
The Little Mermaid,1989,"Animation, Adventure, Comedy",83.0,211343479,7.6,267512,88.0,92,88
Nice View,2022,"Comedy, Drama",106.0,211019042,6.6,858,,92,88
District 9,2009,"Action, Sci-Fi, Thriller",112.0,210888950,7.9,687014,81.0,90,81
Moonraker,1979,"Action, Adventure, Sci-Fi",126.0,210308099,6.2,103083,66.0,59,66
The Others,2001,"Horror, Mystery, Thriller",104.0,209947037,7.6,371010,74.0,84,74
Horrible Bosses,2011,"Comedy, Crime",98.0,209838559,6.9,453224,57.0,69,57
Us and Them,2018,"Drama, Romance",120.0,209221380,7.4,4493,,60,57
Red Dragon,2002,"Crime, Drama, Thriller",124.0,209196298,7.2,276267,60.0,69,60
Tomorrowland,2015,"Action, Adventure, Family",130.0,209035668,6.4,184518,60.0,50,60
Me Before You,2016,"Drama, Romance",106.0,208314186,7.4,258183,51.0,54,51
Safe House,2012,"Action, Thriller",115.0,208076205,6.7,225485,52.0,53,52
S.W.A.T.,2003,"Action, Adventure, Crime",117.0,207725639,6.0,149232,45.0,48,45
The Fast and the Furious,2001,"Action, Crime, Thriller",106.0,207517509,6.8,389981,58.0,53,58
Traffic,2000,"Crime, Drama, Thriller",147.0,207515725,7.6,209447,86.0,92,86
DC League of Super-Pets,2022,"Animation, Action, Adventure",105.0,207357117,7.2,64178,56.0,73,56
Paranormal Activity 3,2011,"Horror, Mystery",83.0,207039844,5.8,96461,59.0,66,59
Philadelphia,1993,Drama,125.0,206678440,7.7,244951,66.0,81,66
The Conjuring: The Devil Made Me Do It,2021,"Horror, Mystery, Thriller",112.0,206431050,6.3,118769,53.0,55,53
Sleepy Hollow,1999,"Fantasy, Horror, Mystery",105.0,206071502,7.3,365004,65.0,70,65
The Holiday,2006,"Comedy, Romance",136.0,205850169,6.9,297243,52.0,51,52
The Jungle Book,2016,"Adventure, Drama, Family",106.0,205843612,7.4,280192,77.0,94,77
Raging Fire,2021,"Action, Adventure, Crime",126.0,205842393,6.5,5023,72.0,91,72
London Has Fallen,2016,"Action, Thriller",99.0,205754447,5.9,161227,28.0,27,28
The Break-Up,2006,"Comedy, Drama, Romance",106.0,205668210,5.8,134196,45.0,34,45
Journey to the West,2013,"Action, Adventure, Comedy",110.0,205637183,6.7,13136,68.0,94,68
The Ugly Truth,2009,"Comedy, Romance",96.0,205599393,6.4,221927,28.0,14,28
JFK,1991,"Drama, History, Thriller",189.0,205405498,8.0,158682,72.0,85,72
Birds of Prey,2020,"Action, Comedy, Crime",109.0,205372791,6.0,242835,60.0,79,60
White House Down,2013,"Action, Drama, Thriller",131.0,205366737,6.3,225219,52.0,51,52
A Dog's Purpose,2017,"Adventure, Comedy, Drama",100.0,205035819,7.2,73917,43.0,35,43
Ponyo,2008,"Animation, Adventure, Comedy",101.0,204826668,7.6,146942,86.0,91,86
Fun with Dick and Jane,2005,"Comedy, Crime",90.0,204681899,6.2,147721,47.0,29,47
Eat Pray Love,2010,"Biography, Drama, Romance",133.0,204594016,5.8,99221,50.0,36,50
The Addams Family,1991,"Comedy, Fantasy",99.0,204394183,6.9,168266,57.0,67,57
Ghostbusters: Afterlife,2021,"Adventure, Comedy, Fantasy",124.0,204334455,7.1,185054,45.0,63,45
You Don't Mess with the Zohan,2008,"Action, Comedy",113.0,204313400,5.6,204669,54.0,37,54
Hairspray,2007,"Comedy, Drama, Musical",117.0,203627753,6.7,132236,81.0,92,81
King Arthur,2004,"Action, Adventure, Drama",126.0,203567857,6.3,170036,46.0,31,46
Yogi Bear,2010,"Animation, Adventure, Comedy",80.0,203509374,4.6,22362,35.0,13,35
Everest,2015,"Action, Adventure, Biography",121.0,203427584,7.1,221175,64.0,73,64
Vanilla Sky,2001,"Fantasy, Mystery, Romance",136.0,203388341,6.9,271662,45.0,43,45
Arrival,2016,"Drama, Mystery, Sci-Fi",116.0,203388186,7.9,703148,81.0,95,81
Need for Speed,2014,"Action, Thriller",132.0,203277636,6.4,172827,39.0,22,39
Garfield,2004,"Animation, Adventure, Comedy",80.0,203172417,5.0,88548,27.0,15,27
Patch Adams,1998,"Biography, Comedy, Drama",115.0,202292902,6.8,116053,25.0,21,25
Teenage Mutant Ninja Turtles,2014,"Action, Adventure, Comedy",101.0,202084756,5.8,212947,31.0,21,31
Kindergarten Cop,1990,"Action, Comedy, Crime",111.0,201957688,6.2,152444,61.0,53,61
Straight Outta Compton,2015,"Biography, Drama, History",147.0,201634991,7.8,204963,72.0,89,72
21 Jump Street,2012,"Action, Comedy, Crime",109.0,201585328,7.2,563945,69.0,85,69
Valkyrie,2008,"Drama, History, Thriller",121.0,201545517,7.1,246996,56.0,62,56
Open Season,2006,"Animation, Adventure, Comedy",86.0,200811689,6.1,98536,49.0,49,49
Cats & Dogs,2001,"Action, Adventure, Comedy",87.0,200687492,5.1,60422,47.0,53,47
The Hunt for Red October,1990,"Action, Adventure, Thriller",135.0,200512643,7.5,204101,58.0,88,58
Percy Jackson: Sea of Monsters,2013,"Adventure, Family, Fantasy",106.0,199850315,5.7,119907,39.0,42,39
Two Weeks Notice,2002,"Comedy, Romance",101.0,199043471,6.1,120327,42.0,42,42
RED,2010,"Action, Comedy, Crime",111.0,199006387,7.0,311876,60.0,71,60
Shock Wave 2,2020,"Action, Crime, Thriller",120.0,198921659,6.6,2501,,87,60
City of Angels,1998,"Drama, Fantasy, Romance",114.0,198685114,6.7,122581,54.0,87,54
The Pacifier,2005,"Action, Comedy, Drama",95.0,198636868,5.6,96186,30.0,21,30
50 First Dates,2004,"Comedy, Drama, Romance",99.0,198520934,6.8,360499,48.0,45,48
Total Recall,1990,"Action, Adventure, Sci-Fi",113.0,198467168,7.5,334928,60.0,83,60
The Island,2005,"Action, Sci-Fi, Thriller",136.0,198326350,6.8,318860,50.0,39,50
The Impossible,2012,"Adventure, Drama, History",114.0,198087212,7.5,227215,73.0,81,73
Lost in Thailand,2012,"Adventure, Comedy, Drama",105.0,197757387,6.2,3596,55.0,67,55
Christopher Robin,2018,"Adventure, Comedy, Drama",104.0,197744377,7.2,79483,60.0,72,60
Jack the Giant Slayer,2013,"Action, Adventure, Fantasy",114.0,197687603,6.3,140925,51.0,52,51
Smurfs: The Lost Village,2017,"Animation, Adventure, Comedy",90.0,197183546,6.0,22276,40.0,40,40
Chinese Doctors,2021,Drama,129.0,197143218,4.7,499,,40,40
Spy Kids 3: Game Over,2003,"Action, Adventure, Comedy",84.0,197101678,4.3,61633,57.0,45,57
Panic Room,2002,"Crime, Drama, Thriller",112.0,197079546,6.8,283225,65.0,76,65
The Other Woman,2014,"Comedy, Romance",109.0,196710396,6.0,143028,39.0,26,39
Stargate,1994,"Action, Adventure, Sci-Fi",116.0,196567262,7.0,193970,42.0,52,42
Beowulf,2007,"Animation, Action, Adventure",115.0,196393745,6.3,169669,59.0,71,59
The Vow,2012,"Drama, Romance",104.0,196114570,6.8,196796,43.0,31,43
Anger Management,2003,Comedy,106.0,195745823,6.2,218952,52.0,42,52
Tropic Thunder,2008,"Action, Comedy, War",107.0,195702963,7.0,421752,71.0,82,71
The Shape of Water,2017,"Drama, Fantasy, Romance",123.0,195333312,7.3,424830,87.0,92,87
Rocketman,2019,"Biography, Drama, Musical",121.0,195320400,7.3,178154,69.0,92,69
The Pelican Brief,1993,"Crime, Drama, Mystery",141.0,195268056,6.6,89322,50.0,54,50
The BFG,2016,"Adventure, Family, Fantasy",117.0,195243411,6.3,87920,66.0,74,66
Downton Abbey,2019,"Drama, Romance",122.0,194694725,7.4,58050,64.0,84,64
The Intern,2015,"Comedy, Drama",121.0,194564672,7.1,255485,51.0,59,51
The Curse of the Were-Rabbit,2005,"Animation, Adventure, Comedy",85.0,194137091,7.5,138415,87.0,95,87
Gnomeo & Juliet,2011,"Animation, Adventure, Comedy",84.0,193967670,5.9,56914,53.0,55,53
The Sum of All Fears,2002,"Action, Drama, Thriller",124.0,193921372,6.4,118625,45.0,59,45
Gangs of New York,2002,"Crime, Drama",167.0,193772504,7.5,447336,72.0,72,72
The Post,2017,"Biography, Drama, History",116.0,193764664,7.2,153700,83.0,88,83
The Monkey King 2,2016,"Action, Adventure, Fantasy",119.0,193678298,5.9,3261,,100,83
Paranormal Activity,2007,"Horror, Mystery",86.0,193355800,6.3,243348,68.0,83,68
Weathering with You,2019,"Animation, Drama, Fantasy",112.0,193336680,7.5,42975,72.0,92,72
The Lego Movie 2: The Second Part,2019,"Animation, Action, Adventure",107.0,192456290,6.6,68724,65.0,84,65
The Equalizer,2014,"Action, Crime, Thriller",132.0,192330738,7.2,376930,57.0,60,57
Sheep Without a Shepherd,2019,"Crime, Drama, Thriller",112.0,191602146,6.8,1618,73.0,100,73
The Addams Family,1991,"Comedy, Fantasy",99.0,191502426,6.9,168266,57.0,67,57
The Longest Yard,2005,"Comedy, Crime, Sport",113.0,191466556,6.4,182580,48.0,31,48
The Lost City,2022,"Action, Adventure, Comedy",112.0,190844029,6.1,126121,60.0,79,60
The Santa Clause,1994,"Comedy, Drama, Family",97.0,190539357,6.5,123892,57.0,73,57
Cheaper by the Dozen,2003,"Comedy, Family",98.0,190538630,5.9,103668,46.0,24,46
The Equalizer 2,2018,"Action, Crime, Thriller",121.0,190400157,6.7,163090,50.0,52,50
Abominable,2019,"Animation, Adventure, Comedy",97.0,190304772,7.0,39764,61.0,82,61
Hollow Man,2000,"Action, Horror, Sci-Fi",112.0,190213455,5.8,133081,24.0,26,24
Outbreak,1995,"Action, Drama, Thriller",127.0,189859560,6.6,131459,64.0,59,64
The White Storm 2: Drug Lords,2019,"Action, Crime",99.0,189396380,6.0,1343,,57,64
The X Files,1998,"Drama, Mystery, Sci-Fi",121.0,189176423,7.0,106949,60.0,66,60
Breakup Buddies,2014,"Comedy, Drama, Romance",116.0,189017596,6.4,1691,,66,60
Rambo III,1988,"Action, Adventure, Thriller",102.0,189015611,5.8,133606,36.0,41,36
The Secret Life of Walter Mitty,2013,"Adventure, Comedy, Drama",114.0,188133322,7.3,321228,54.0,52,54
Project Gutenberg,2018,"Action, Crime, Mystery",130.0,188116796,6.8,4719,,71,54
Jaws 2,1978,"Adventure, Horror, Thriller",116.0,187884007,5.8,79680,51.0,61,51
12 Years a Slave,2013,"Biography, Drama, History",134.0,187733202,8.1,705875,96.0,95,96
Heat,1995,"Action, Crime, Drama",170.0,187436818,8.3,661200,76.0,88,76
Mr. Popper's Penguins,2011,"Comedy, Family, Fantasy",94.0,187361754,6.0,99485,53.0,47,53
The Grudge,2004,"Horror, Mystery, Thriller",91.0,187281115,5.9,146580,49.0,40,49
One Piece Film: Red,2022,"Animation, Action, Adventure",115.0,187181317,6.8,8581,69.0,94,69
I Now Pronounce You Chuck & Larry,2007,"Comedy, Romance",115.0,187134117,5.9,149270,37.0,14,37
The Horse Whisperer,1998,"Drama, Romance, Western",169.0,186883563,6.7,41879,65.0,74,65
Walk the Line,2005,"Biography, Drama, Music",136.0,186797986,7.8,254053,72.0,82,72
Jian Bing Man,2015,Comedy,113.0,186699768,5.6,1256,,82,72
The Jungle Book 2,2003,"Animation, Adventure, Comedy",72.0,186303759,5.3,16869,38.0,18,38
The Final Destination,2009,"Horror, Thriller",82.0,186167139,5.1,108498,30.0,27,30
Atlantis: The Lost Empire,2001,"Animation, Action, Adventure",95.0,186053725,6.9,123135,52.0,49,52
Inside Man,2006,"Crime, Drama, Mystery",129.0,186003591,7.6,377706,76.0,86,76
The Waterboy,1998,"Comedy, Sport",90.0,185991646,6.1,167911,41.0,33,41
